id,label,type,latitude,longitude,targets,x,y
c24,Sea Run Holdings,company,43.8260282,-70.1135733,"['s39', 's41']",1,27.058823529411764
c25,Spirometrics Medical Equipment,company,43.8884179,-70.332511,['s41'],1,28.235294117647058
c26,Sun Diagnostics,company,43.9029309,-70.2565096,"['s41', 's53']",1,29.411764705882355
c27,Syris Scientific,company,43.8884179,-70.332511,['s53'],1,30.58823529411765
c28,TechPlace,company,43.8931949,-69.9316428,"['s25', 's42', 's53', 's76', 's127', 's170', 's203', 's264']",1,31.764705882352942
c29,Virostat,company,43.6596283,-70.3816074,"['s6', 's7', 's41']",1,32.94117647058824
c30,VueTek Scientific,company,43.8884179,-70.332511,['s41'],1,34.11764705882353
c31,BBI Solutions,company,43.6830644,-70.2898099,"['s41', 's76', 's127']",1,35.294117647058826
c32,Bio Rad,company,43.7092924,-70.3143737,"['s41', 's76', 's127']",1,36.470588235294116
c33,BioAnalyte,company,43.6697703,-70.2472608,"['s51', 's7']",1,37.64705882352941
c34,Butterfield Technologies,company,43.6541005,-70.2636987,"['s7', 's41']",1,38.82352941176471
c35,Capricorn Products,company,43.7105185,-70.3048929,"['s6', 's7']",1,40.0
c36,Clear H20,company,43.6643899,-70.3718824,"['s41', 's279', 's280', 's7']",1,41.1764705882353
c37,Covetrus,company,43.657593,-70.2508959,"['s6', 's7', 's41', 's42', 's51', 's53', 's198']",1,42.35294117647059
c38,Dechra,company,43.6576977,-70.2583003,"['s41', 's6', 's7']",1,43.529411764705884
c39,EnviroLogix,company,43.7141902,-70.3053803,"['s6', 's7', 's390', 's279', 's280', 's266']",1,44.70588235294118
c40,Gray Optics,company,43.7075752,-70.3163305,"['s7', 's41', 's53']",1,45.88235294117647
c41,Gulf of Maine Research Institute,company,43.6518133,-70.2563226,"['s6', 's76', 's82', 's222', 's216', 's226', 's266', 's272', 's279', 's25', 's280', 's352']",1,47.05882352941177
c42,ImmuCell,company,43.7077348,-70.3135716,"['s6', 's7', 's41', 's83', 's279', 's280']",1,48.23529411764706
c43,MedRhythms,company,43.6576744,-70.2552393,"['s6', 's28', 's39', 's41', 's76']",1,49.411764705882355
c44,Nova Analytic Labs,company,43.7045157,-70.3037835,"['s41', 's76', 's39']",1,50.58823529411765
c45,RockStep Solutions,company,43.6561255,-70.2584736,"['s41', 's76']",1,51.76470588235294
c46,SolidPhase,company,43.7092105,-70.3144215,"['s6', 's7', 's41', 's76']",1,52.94117647058824
c47,Solstice Corporation,company,43.6618868,-70.2658418,"['s53', 's76', 's39']",1,54.11764705882353
c48,Molnlycke,company,43.8982621,-69.9294408,"['s39', 's41', 's53', 's76']",1,55.294117647058826
c49,Armaid,company,44.4414807,-68.6102518,"['s53', 's76', 's179', 's39']",1,56.470588235294116
c50,Coagulation Sciences,company,44.4326083,-68.2893606,"['s6', 's7', 's39', 's41']",1,57.64705882352941
c51,GenoTyping Center of America,company,44.534764,-68.4199156,"['s76', 's127', 's6', 's39', 's200']",1,58.82352941176471
c52,MDI Biological Laboratory,company,44.4326083,-68.2893606,"['s390', 's337', 's266', 's237', 's39']",1,60.0
c53,NovoBiosciences,company,44.4302752,-68.2888054,"['s7', 's39', 's41', 's266']",1,61.1764705882353
c54,Tempshield,company,44.4475439,-68.3714767,"['s337', 's279', 's127', 's51', 's6']",1,62.35294117647059
c55,The Jackson Laboratory,company,44.3640318,-68.1960496,"['s6', 's39', 's76', 's101', 's127', 's237']",1,63.529411764705884
c56,Bushover Biologicals,company,44.3961116,-69.6454703,"['s25', 's6', 's76', 's157']",1,64.70588235294117
c57,Elanco,company,44.527708,-69.6192963,"['s25', 's6', 's76', 's157']",1,65.88235294117648
c58,Global Protien Products,company,44.5496507,-69.6301114,"['s390', 's337', 's76', 's53']",1,67.05882352941177
c59,Notheast Laboratory Services,company,44.5321184,-69.6232672,"['s6', 's25', 's41', 's39', 's76']",1,68.23529411764706
c60,Woods End Laboratories,company,44.5121616,-69.9623441,"['s390', 's352', 's336', 's279', 's266', 's127', 's6', 's67']",1,69.41176470588236
c61,Lonza,company,44.0910198,-69.1261492,[],1,70.58823529411765
c62,Bigelow Laboratory for Ocean Sciences,company,43.859725,-69.5800872,[],1,71.76470588235294
c63,Consultox Limited,company,44.038433,-69.4936914,[],1,72.94117647058823
c64,Maine Medicinals,company,44.1079172,-69.7250291,[],1,74.11764705882354
c65,Physician Engineered Products,company,44.0090726,-70.9766058,[],1,75.29411764705883
c66,Wellomics,company,44.5711545,-68.7875829,[],1,76.47058823529412
c67,Activas Diagnostics,company,44.8988658,-68.6832262,[],1,77.64705882352942
c68,Cerahelix,company,44.8988658,-68.6832262,[],1,78.82352941176471
c69,Dahl Chase,company,44.8073463,-68.7524108,[],1,80.0
c70,Lobster Unlimited,company,44.7767302,-68.7321679,[],1,81.17647058823529
c71,Neuright,company,44.8988658,-68.6832262,[],1,82.3529411764706
c72,Orono Spectral Solutions,company,44.7959021,-68.8461039,[],1,83.52941176470588
c73,Sensor Research & Development,company,44.9016197,-68.6885771,[],1,84.70588235294117
c74,Puritan Medical Products,company,45.1690528,-69.392789,[],1,85.88235294117648
c75,FHC,company,44.0331704,-69.9608948,[],1,87.05882352941177
c76,Kennebec River Biosciences,company,44.0879691,-69.8008231,[],1,88.23529411764706
c77,Beacon Analytical Systems,company,43.5329698,-70.4458761,[],1,89.41176470588236
c78,Corning Life Sciences,company,43.4036462,-70.5656702,[],1,90.58823529411765
c79,East Coast BIO,company,43.3071501,-70.7195883,[],1,91.76470588235294
c80,GVS,company,43.4043635,-70.6984573,[],1,92.94117647058823
c81,L A W  Calibration,company,43.5357876,-70.4314731,[],1,94.11764705882354
c82,ME Molecular Quality Controls,company,43.529808,-70.416901,[],1,95.29411764705883
c83,Purist,company,43.4378551,-70.4558393,[],1,96.47058823529412
c84,Spin Analytical,company,43.2368859,-70.8054684,[],1,97.64705882352942
c85,The Baker Company,company,43.3910357,-70.7198524,[],1,98.82352941176471
